20185050562,2,BURGLARY OF VEHICLE,Theft,15-Dec-18,901 LITTLE TEXAS LN,30.19818454103125,-97.76915051739988,N,23-Dec-18,F,78745,24.02
20185050958,7,BURGLARY OF VEHICLE,Theft,18-Dec-18,13000 N IH 35 SVRD SB,30.41554511984936,-97.67476746586561,N,4-Jan-19,E,78753,18.48
20185029471,4,BURGLARY OF VEHICLE,Theft,2-Aug-18,1011 FIELDWOOD DR,30.370885504370627,-97.69882709098759,N,2-Aug-18,E,78758,18.22
20185031198,9,THEFT,Theft,13-Aug-18,1201 BARBARA JORDAN BLVD,30.30635361887452,-97.70916312355415,N,17-Sep-18,B,78723,3.06
20188004056,9,THEFT FROM BUILDING,Theft,10-Oct-18,1007 S CONGRESS AVE,30.25408461683894,-97.74711480324258,N,16-Oct-18,H,78704,14.01
20185028772,3,BURGLARY OF VEHICLE,Theft,28-Jul-18,1705 FRONTIER VALLEY DR,30.224783445649447,-97.69497359014281,N,30-Jul-18,H,78741,23.12
20185030669,5,BREACH OF COMPUTER SECURITY,Theft,9-Aug-18,9925 BRODIE LN,30.183721983193838,-97.84900338250831,N,1-Nov-18,F,78748,17.46
20182030780,3,BURGLARY OF RESIDENCE,Burglary,22-Jul-18,2508 E 2ND ST,30.25518110745518,-97.71551834954171,C,13-Sep-18,C,78702,9.02
20183251675,4,AGG ROBBERY/DEADLY WEAPON,Robbery,21-Nov-18,9845 N LAMAR BLVD,30.368073732320294,-97.69410172716461,N,22-Nov-18,E,78753,18.23
20185039062,2,BURGLARY OF VEHICLE,Theft,2-Oct-18,4900 LAMBS LN,30.178547184578584,-97.75176391152152,N,3-Oct-18,F,78744,24.27
20185024334,4,AGG SEXUAL ASSAULT CHILD/OBJEC,Rape,27-Jun-18,,,,C,8-Nov-18,E,78753,18.33
20185033612,9,THEFT OF BICYCLE,Theft,28-Aug-18,91 RAINEY ST,30.260205425566923,-97.73793078136974,N,28-Aug-18,G,78701,11
20185024877,6,BURGLARY OF VEHICLE,Theft,2-Jul-18,11716 RUNNING FOX TRL,30.41244812298873,-97.73478380475424,N,2-Jul-18,A,78759,17.54
20181921613,6,BURGLARY OF RESIDENCE,Burglary,11-Jul-18,7920 SAN FELIPE BLVD,30.438545311981446,-97.76905900666199,N,12-Jul-18,A,78729,204.06
20185029749,5,BURGLARY OF VEHICLE,Theft,3-Aug-18,9300 S IH 35 SVRD SB,30.165488193321547,-97.7895152974762,N,20-Aug-18,F,78748,24.21
20182471721,10,AGG ROBBERY/DEADLY WEAPON,Robbery,4-Sep-18,12518 RESEARCH BLVD SB,30.428711432275023,-97.76046892667681,N,16-Nov-18,A,78759,17.56
20182030577,10,BURGLARY NON RESIDENCE,Burglary,22-Jul-18,8028 MESA DR,30.370850471147914,-97.75845687017889,,,B,78731,17.05
20182281570,2,THEFT,Theft,16-Aug-18,1700 TERI RD,30.20524328451212,-97.75566087636996,N,4-Sep-18,F,78744,24.11
20185032129,3,BURGLARY OF VEHICLE,Theft,19-Aug-18,2601 S 2ND ST,30.239638650389555,-97.76194587860206,N,21-Aug-18,D,78704,13.07
20182200334,8,AUTO THEFT,Auto Theft,8-Aug-18,2901 BARTON SKWY,30.258731180787557,-97.78948865146015,C,14-Aug-18,D,78746,19.11
20181910981,6,BURGLARY NON RESIDENCE,Burglary,10-Jul-18,9009 N FM 620 RD,30.432287756663722,-97.84065379995224,N,29-Aug-18,A,78726,17.14
20181721498,4,BURGLARY OF RESIDENCE,Burglary,21-Jun-18,8312 N IH 35 SVRD SB,30.3466467325246,-97.69656845592239,N,13-Sep-18,E,78753,18.06
20182680599,5,THEFT,Theft,25-Sep-18,7310 SHERWOOD RD,30.192877584664192,-97.79751657940739,N,25-Oct-18,F,78745,24.24
20185038318,4,THEFT,Theft,26-Sep-18,1830 W RUNDBERG LN,30.37203707213383,-97.71476966426324,N,27-Sep-18,E,78758,18.2
20182000203,1,AUTO THEFT,Auto Theft,19-Jul-18,12428 TAY TER,30.372993749241342,-97.61596991076087,N,20-Jul-18,C,78653,18.42
20188003458,9,THEFT OF BICYCLE,Theft,5-Sep-18,311 BOWIE ST,30.269228209594097,-97.7529923825513,N,7-Sep-18,G,78703,12
20185023400,2,BURGLARY OF VEHICLE,Theft,21-Jun-18,5406 MEADOW CREST,30.193461999884907,-97.73598139718285,N,25-Jun-18,F,78744,24.31
20185028261,1,BURGLARY OF VEHICLE,Theft,25-Jul-18,1857 CORONADO HILLS DR,30.32449519643339,-97.68296400795344,N,25-Jul-18,I,78752,18.11
20185028273,2,THEFT,Theft,25-Jul-18,8300 S IH 35 SVRD SB,30.1740348959129,-97.78213014074899,N,20-Sep-18,F,78745,24.22
20185028289,4,BURGLARY OF VEHICLE,Theft,25-Jul-18,1071 CLAYTON LN,30.31853002237177,-97.70341725635046,N,25-Jul-18,I,78723,21.05
20182930570,2,BURGLARY OF VEHICLE,Theft,20-Oct-18,6004 EUREKA DR,30.207491611898085,-97.79080627771351,N,26-Nov-18,F,78745,24.09
20185038959,3,BURGLARY OF VEHICLE,Theft,1-Oct-18,1414 SHORE DISTRICT DR,30.243699055485383,-97.72850375792406,N,3-Oct-18,H,78741,23.04
20185036066,1,THEFT,Theft,12-Sep-18,7224 NORTHEAST DR,30.321613885663606,-97.68009157760473,N,13-Sep-18,I,78723,21.12
20182390569,1,BURG OF RES - SEXUAL NATURE,Burglary,27-Aug-18,5800 TECHNI CENTER DR,30.278775586012287,-97.67194922400788,C,3-Sep-18,C,78721,21.1
20182410455,8,THEFT,Theft,29-Aug-18,5033 W US 290 HWY SVRD EB,30.23299597225612,-97.82474115488104,,,D,78749,17.5
20185040518,2,BURGLARY OF VEHICLE,Theft,11-Oct-18,7930 THAXTON RD,30.157576757846943,-97.74444658684587,N,13-Nov-18,F,78747,24.26
20185034602,5,BREACH OF COMPUTER SECURITY,Theft,3-Sep-18,1810 ANITA DR,30.25444758404279,-97.77078958185712,N,24-Oct-18,D,78704,13.04
20185040287,9,BURGLARY OF VEHICLE,Theft,9-Oct-18,400 W 13TH ST,30.276102759532137,-97.74379342275643,N,10-Oct-18,B,78701,7
20185042266,8,BURGLARY OF VEHICLE,Theft,22-Oct-18,7010 W SH 71,30.235799146537545,-97.87599289796154,N,30-Oct-18,D,78735,19.08
20182951692,7,BURGLARY NON RESIDENCE,Burglary,22-Oct-18,10515 N MOPAC EXPY SVRD NB,30.39418105573911,-97.73238264352824,N,7-Nov-18,A,78758,17.53
20185036947,6,BURGLARY OF VEHICLE,Theft,18-Sep-18,7301 N FM 620 RD,30.40458524994334,-97.85164724325517,N,19-Sep-18,A,78726,17.14
20185030379,1,THEFT,Theft,8-Aug-18,6110 BOYCE LN,30.36380639081306,-97.61086849004819,N,4-Sep-18,C,78653,18.56
20185029614,7,BURGLARY OF VEHICLE,Theft,3-Aug-18,3908 W BRAKER LN,30.397398685219777,-97.73467542951481,N,6-Aug-18,A,78759,17.54
20188003208,2,THEFT,Theft,21-Aug-18,7500 S IH 35 NB,30.18098344588135,-97.77681833208987,N,23-Aug-18,F,78744,24.29
20185024165,5,THEFT,Theft,26-Jun-18,9323 MANCHACA RD,30.178616031952384,-97.81934378654005,N,27-Jun-18,F,78748,17.47
20185037710,2,BURGLARY OF VEHICLE,Theft,23-Sep-18,8005 VIVID SKY LN,30.17876807879898,-97.78806725079718,N,6-Nov-18,F,78748,24.22
20185026629,5,BURGLARY OF VEHICLE,Theft,13-Jul-18,8101 NOTTAWAY CV,30.199233310856542,-97.8310573871478,N,16-Jul-18,F,78745,17.29
20188003302,5,THEFT BY SHOPLIFTING,Theft,24-Aug-18,2110 W SLAUGHTER LN,30.175422766271996,-97.82564378375066,N,28-Aug-18,F,78748,17.47
20182971075,7,THEFT,Theft,24-Oct-18,12900 N IH 35 SVRD SB,30.41358108292963,-97.67568478607664,C,24-Oct-18,E,78753,18.48
20185027398,7,THEFT BY SHOPLIFTING,Theft,19-Jul-18,10515 N MOPAC EXPY NB,30.391605244032508,-97.73244578219905,N,23-Jul-18,A,78758,17.53
20182530918,1,AUTO THEFT,Auto Theft,10-Sep-18,7701 CAMERON RD,30.331862131315777,-97.68649349848747,N,18-Sep-18,I,78752,18.11
20182980944,9,AUTO THEFT,Auto Theft,25-Oct-18,3320 HARMON AVE,30.291885171949815,-97.72309586790459,N,29-Oct-18,B,78705,4.01
20185036839,4,THEFT BY SHOPLIFTING,Theft,17-Sep-18,5621 N IH 35 SVRD NB,30.31639390026037,-97.70614473461517,N,27-Sep-18,I,78723,21.05
20185039338,9,BURGLARY OF VEHICLE,Theft,3-Oct-18,W 17TH ST / RIO GRANDE ST,30.280690243441683,-97.74555904629537,N,3-Oct-18,B,78701,7
20182061481,2,THEFT,Theft,25-Jul-18,5804 COUGAR DR,30.20764988821125,-97.7863151568352,N,2-Aug-18,F,78745,24.1
20182871294,1,THEFT,Theft,14-Oct-18,1601 N IH 35 SVRD NB,30.276579382287785,-97.72971744895352,C,14-Oct-18,C,78702,8.03
20185031512,1,BURGLARY OF VEHICLE,Theft,15-Aug-18,5300 ED BLUESTEIN BLVD NB,30.290244249113016,-97.66412490206265,N,20-Aug-18,C,78724,22.08
20182410079,4,BURGLARY OF RESIDENCE,Burglary,28-Aug-18,1103 INLAND GREENS,30.36419811874398,-97.70614294632367,N,30-Aug-18,E,78758,18.19
20188003715,6,THEFT,Theft,21-Sep-18,12233 N FM 620 RD,30.46219826335607,-97.81477004094667,N,14-Nov-18,A,78750,204.03
20185040898,7,BURGLARY OF VEHICLE,Theft,13-Oct-18,3211 FEATHERGRASS CT,30.394428688535488,-97.72737263235027,N,15-Oct-18,A,78758,18.49
20182850257,9,BURGLARY NON RESIDENCE,Burglary,12-Oct-18,1950 S IH 35 SVRD SB,30.23798529530648,-97.73941803509122,N,13-Dec-18,H,78704,14.02
20181280616,3,RAPE,Rape,8-May-18,,,,N,6-Jun-18,H,78741,23.13
20183290048,1,AGG ROBBERY/DEADLY WEAPON,Robbery,25-Nov-18,6907 TULANE DR,30.3129765726508,-97.66678344442337,N,6-Dec-18,I,78723,21.13
20185035682,1,BURGLARY OF VEHICLE,Theft,10-Sep-18,1834 FERGUSON LN,30.34518184024066,-97.6715916840894,N,11-Sep-18,E,78754,18.34
20182970369,1,AUTO THEFT,Auto Theft,24-Oct-18,1011 PEGGOTTY PL,30.386947100103534,-97.66261540618669,C,25-Oct-18,E,78753,18.35
20185043245,9,BURGLARY OF VEHICLE,Theft,29-Oct-18,4600 MUELLER BLVD,30.299482288956163,-97.70804409078274,N,31-Oct-18,B,78723,3.06
20185043512,4,BURGLARY OF VEHICLE,Theft,30-Oct-18,E 53RD ST / HARMON AVE,30.312088178135287,-97.71091234487372,N,31-Oct-18,I,78751,21.05
20185029602,10,BURGLARY OF VEHICLE,Theft,2-Aug-18,5253 N CAPITAL OF TEXAS HWY NB,30.350336569989068,-97.79645325128925,N,3-Aug-18,B,78746,19.12
